frame	time	Max Temp	units
277	2022-08-10 10:57:38.953000	1.504149e+02	C
278	2022-08-10 10:57:38.986000	1.563747e+02	C
279	2022-08-10 10:57:39.020000	1.475586e+02	C
280	2022-08-10 10:57:39.053000	1.530621e+02	C
281	2022-08-10 10:57:39.086000	1.486337e+02	C
282	2022-08-10 10:57:39.120000	1.505923e+02	C
283	2022-08-10 10:57:39.153000	1.479175e+02	C
284	2022-08-10 10:57:39.186000	1.495260e+02	C
285	2022-08-10 10:57:39.220000	1.521829e+02	C
286	2022-08-10 10:57:39.253000	1.546368e+02	C
287	2022-08-10 10:57:39.286000	1.546368e+02	C
288	2022-08-10 10:57:39.320000	1.541130e+02	C
289	2022-08-10 10:57:39.353000	1.530621e+02	C
290	2022-08-10 10:57:39.386000	1.493478e+02	C
291	2022-08-10 10:57:39.420000	1.591305e+02	C
292	2022-08-10 10:57:39.453000	1.530621e+02	C
293	2022-08-10 10:57:39.486000	1.630403e+02	C
294	2022-08-10 10:57:39.520000	1.523590e+02	C
295	2022-08-10 10:57:39.553000	1.560281e+02	C
296	2022-08-10 10:57:39.586000	1.520067e+02	C
297	2022-08-10 10:57:39.620000	1.572391e+02	C
298	2022-08-10 10:57:39.653000	1.535882e+02	C
299	2022-08-10 10:57:39.686000	1.653915e+02	C
300	2022-08-10 10:57:39.720000	1.558546e+02	C
301	2022-08-10 10:57:39.753000	1.570665e+02	C
302	2022-08-10 10:57:39.786000	1.618566e+02	C
303	2022-08-10 10:57:39.820000	1.687146e+02	C
304	2022-08-10 10:57:39.853000	1.562015e+02	C
305	2022-08-10 10:57:39.886000	1.528866e+02	C
306	2022-08-10 10:57:39.920000	1.598147e+02	C
307	2022-08-10 10:57:39.953000	1.665593e+02	C
308	2022-08-10 10:57:39.986000	1.648895e+02	C
309	2022-08-10 10:57:40.020000	1.616871e+02	C
310	2022-08-10 10:57:40.053000	1.642186e+02	C
311	2022-08-10 10:57:40.086000	1.548111e+02	C
312	2022-08-10 10:57:40.120000	1.567208e+02	C
313	2022-08-10 10:57:40.153000	1.521829e+02	C
314	2022-08-10 10:57:40.186000	1.544623e+02	C
315	2022-08-10 10:57:40.220000	1.591305e+02	C
